p_level ,value(getData("rram_0.mem_0:rram_r_read" ?result "tran" ?resultsDir "./arizona_rram_1t1r.raw") 130n) (-real)
981.0,544.7E3
982.0,544.7E3
983.0,544.7E3
984.0,544.7E3
985.0,544.7E3
986.0,544.7E3
987.0,544.7E3
988.0,544.7E3
989.0,544.7E3
990.0,544.7E3
991.0,544.7E3
992.0,544.7E3
993.0,544.7E3
994.0,544.7E3
995.0,544.7E3
996.0,544.7E3
997.0,544.7E3
998.0,544.7E3
999.0,544.7E3
1.000E3,544.7E3
1.001E3,544.7E3
1.002E3,544.7E3
1.003E3,544.7E3
1.004E3,544.7E3
1.005E3,544.7E3
1.006E3,544.7E3
1.007E3,544.7E3
1.008E3,544.7E3
1.009E3,544.7E3
1.010E3,544.7E3
1.011E3,544.7E3
1.012E3,544.7E3
1.013E3,544.7E3
1.014E3,544.7E3
1.015E3,544.7E3
1.016E3,544.7E3
1.017E3,544.7E3
1.018E3,544.7E3
1.019E3,544.7E3
1.020E3,544.7E3
1.021E3,544.7E3
1.022E3,544.7E3
1.023E3,544.7E3
