p_level ,value(getData("rram_0.mem_0:rram_r_read" ?result "tran") 130n) (-real)
883.0,1.621E6
884.0,1.621E6
885.0,1.621E6
886.0,1.621E6
887.0,1.621E6
888.0,1.621E6
889.0,1.621E6
890.0,1.621E6
891.0,1.621E6
892.0,1.621E6
893.0,1.621E6
894.0,1.621E6
895.0,1.621E6
896.0,1.621E6
897.0,1.621E6
898.0,1.621E6
899.0,1.621E6
900.0,1.621E6
901.0,1.621E6
902.0,1.621E6
903.0,1.621E6
904.0,1.621E6
905.0,1.621E6
906.0,1.621E6
907.0,1.621E6
908.0,1.621E6
909.0,1.621E6
910.0,1.621E6
911.0,1.621E6
912.0,1.621E6
913.0,1.621E6
914.0,1.621E6
915.0,1.621E6
916.0,1.621E6
917.0,1.621E6
918.0,1.621E6
919.0,1.621E6
920.0,1.621E6
921.0,1.621E6
922.0,1.621E6
923.0,1.621E6
924.0,1.621E6
925.0,1.621E6
926.0,1.621E6
927.0,1.621E6
928.0,1.621E6
929.0,1.621E6
930.0,1.621E6
931.0,1.621E6
932.0,1.621E6
933.0,1.621E6
934.0,1.621E6
935.0,1.621E6
936.0,1.621E6
937.0,1.621E6
938.0,1.621E6
939.0,1.621E6
940.0,1.621E6
941.0,1.621E6
942.0,1.621E6
943.0,1.621E6
944.0,1.621E6
945.0,1.621E6
946.0,1.621E6
947.0,1.621E6
948.0,1.621E6
949.0,1.621E6
950.0,1.621E6
951.0,1.621E6
952.0,1.621E6
953.0,1.621E6
954.0,1.621E6
955.0,1.621E6
956.0,1.621E6
957.0,1.621E6
958.0,1.621E6
959.0,1.621E6
960.0,1.621E6
961.0,1.621E6
962.0,1.621E6
963.0,1.621E6
964.0,1.621E6
965.0,1.621E6
966.0,1.621E6
967.0,1.621E6
968.0,1.621E6
969.0,1.621E6
970.0,1.621E6
971.0,1.621E6
972.0,1.621E6
973.0,1.621E6
974.0,1.621E6
975.0,1.621E6
976.0,1.621E6
977.0,1.621E6
978.0,1.621E6
979.0,1.621E6
980.0,1.621E6
981.0,1.621E6
982.0,1.621E6
983.0,1.621E6
984.0,1.621E6
985.0,1.621E6
986.0,1.621E6
987.0,1.621E6
988.0,1.621E6
989.0,1.621E6
990.0,1.621E6
991.0,1.621E6
992.0,1.621E6
993.0,1.621E6
994.0,1.621E6
995.0,1.621E6
996.0,1.621E6
997.0,1.621E6
998.0,1.621E6
999.0,1.621E6
1.000E3,1.621E6
1.001E3,1.621E6
1.002E3,1.621E6
1.003E3,1.621E6
1.004E3,1.621E6
1.005E3,1.621E6
1.006E3,1.621E6
1.007E3,1.621E6
1.008E3,1.621E6
1.009E3,1.621E6
1.010E3,1.621E6
1.011E3,1.621E6
1.012E3,1.621E6
1.013E3,1.621E6
1.014E3,1.621E6
1.015E3,1.621E6
1.016E3,1.621E6
1.017E3,1.621E6
1.018E3,1.621E6
1.019E3,1.621E6
1.020E3,1.621E6
1.021E3,1.621E6
1.022E3,1.621E6
1.023E3,1.621E6
